variable;unit;min;max;Definition
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;total nitrogen fertilizer use (organic + inorganic)
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;total nitrogen fertilizer use (organic + inorganic)
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;total nitrogen fertilizer use (organic + inorganic)
Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;total nitrogen fertilizer use (organic + inorganic)
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;total nitrogen fertilizer use (organic + inorganic)
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;total nitrogen fertilizer use (organic + inorganic)
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Total nitrogen inputs in inorganic fertilizer use
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;Total nitrogen inputs in organic fertilizer use
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;Total nitrogen inputs in organic fertilizer use
Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;Total nitrogen inputs in organic fertilizer use
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;Nitrogen inputs on cropland from biological fixation
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Nitrogen inputs on cropland from biological fixation
Resources|Nitrogen|Cropland Budget|Balance|+|Nutrient Surplus;Mt Nr/yr;;;Nitrogen surplus of soil inputs over soil withdrawals on cropland
Productivity|Yield|+|Bioenergy crops;t DM/ha;;;aggregated yield of 2nd generation energy crops (e.g.,switchgrass,miscanthus,fast-growing wood species)
Productivity|Yield|Crops|+|Cereals;t DM/ha;;;yield of cereal production per until of area (used here as repreentative crop to measure yield assumptions)
Productivity|Yield|Crops|+|Oil crops;t DM/ha;;;aggregated yield of Oilcrops (e.g. soybean,rapeseed,groundnut,sunflower,oilpalm)
Productivity|Yield|Crops|+|Sugar crops;t DM/ha;;;aggregated yield of Sugarcrops (e.g. sugarbeet,sugarcane)
